,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
474,Gannan,20,54,47.92,123.49,9.81,3.38
475,Zykovo,8,86,55.24,40.35,19.08,15.01
476,Porto Torres,0,100,40.84,8.4,37.4,2.24
477,Masterton,0,54,-40.95,175.66,62.46,17.36
478,Aksay,0,79,47.27,39.86,23.0,2.24
479,Puri,75,83,-7.54,112.45,84.2,16.11
480,Sabzevar,0,76,36.21,57.68,36.27,3.83
481,Macomb,1,78,40.46,-90.67,2.05,11.41
482,Mananjary,24,75,-19.16,46.8,77.58,6.62
483,Lorengau,56,100,-2.02,147.27,80.46,18.7
484,Omboue,56,100,-1.57,9.26,81.64,7.4
485,Sidi Ali,92,98,36.1,0.42,51.76,12.44
486,Helsinki,40,78,60.17,24.94,15.8,17.22
487,Port-Gentil,40,74,-0.72,8.78,86.0,8.05
488,Tomohon,20,66,1.33,124.84,86.0,9.17
489,Port Blair,48,99,11.67,92.75,83.16,15.46
490,Pozoblanco,90,100,38.38,-4.85,50.0,9.17
491,Watrous,88,78,51.67,-105.46,-1.89,12.44
492,Abonnema,20,94,4.71,6.79,77.0,4.72
493,Mayya,48,57,61.74,130.28,-41.81,4.47
494,Saint Simons,90,93,31.14,-81.39,60.71,6.93
495,Atambua,92,100,-9.11,124.89,78.31,5.39
496,Fort Nelson,90,77,58.81,-122.69,-2.21,2.24
497,Ketchikan,90,96,55.34,-131.65,41.99,6.93
498,Makakilo City,1,78,21.35,-158.09,73.38,4.7
499,Kieta,68,96,-6.22,155.63,81.36,10.76
500,Kizhinga,8,49,51.85,109.91,19.35,8.75
501,Camacupa,32,85,-12.02,17.48,73.44,4.5
502,Dwarka,40,28,28.58,77.04,80.6,6.93
503,Glyadyanskoye,68,93,54.91,65.09,18.45,8.75
504,Deputatskiy,0,0,69.3,139.9,-63.27,2.48
505,Grand Gaube,40,62,-20.01,57.66,87.8,16.11
506,Tandalti,0,34,13.01,31.87,76.95,9.08
507,Tautira,40,78,-17.73,-149.15,80.6,14.99
508,Codrington,40,58,-28.95,153.24,84.76,9.17
509,Kavaratti,20,100,10.57,72.64,80.46,8.19
510,Kastamonu,90,100,41.38,33.78,23.0,2.24
511,Saint Anthony,90,91,43.97,-111.68,32.74,6.62
512,Varkaus,90,84,62.32,27.87,-2.21,2.24
513,Kirakira,32,100,-10.46,161.92,84.79,3.94
514,Sterling,90,100,39.0,-77.4,36.97,8.97
515,Los Llanos de Aridane,75,67,28.66,-17.92,62.6,9.17
516,Nyurba,68,61,63.29,118.35,-7.92,2.71
517,Yendi,0,34,9.45,0.0,77.85,6.17
518,Keighley,90,100,53.87,-1.9,37.04,1.12
519,Exu,75,94,-7.52,-39.72,75.2,6.85
520,Kijang,0,22,35.24,129.21,46.4,12.75
521,Shingu,40,62,33.72,135.99,51.8,23.04
522,Jawhar,0,30,19.91,73.23,93.16,4.27
